name,type,confidence,basis_for_guess,index_letter,page_refs,index_entry,index_entry_original
Edelwald,person,0.61,used elsewhere as a personal name,E,177.2,Edelwald succeedeth Edelhere in the kingdome of east Angles. 177.2,Edelwald ſucceedeth Edelhere in the kingdome of eaſt An|gles. 177.2
Edward,person,0.97,given name in entry; used elsewhere as a personal name; kinship language; appointment to office; biographical ,E,"pag. 1285. col. 2, lin. 58. made knight. pag. 1306. col. 1. lin. 1. maried Anne second daughter to Richarde earle of Warwick. pa. 1323 col. 2. lin. 26. taken prisoner. pag. 1339. col. 2. lin. 48.","Edward sonne to Henry the sixe, borne. pag. 1285. col. 2, lin. 58. made knight. pag. 1306. col. 1. lin. 1. maried Anne second daughter to Richarde earle of Warwick. pa. 1323 col. 2. lin. 26. taken prisoner. pag. 1339. col. 2. lin. 48.","Edward ſonne to Henry the ſixe, borne. pag. 1285. col. 2, lin. 58. made knight. pag. 1306. col. 1. lin. 1. maried Anne ſe|cond daughter to Richarde earle of Warwick. pa. 1323 col. 2. lin. 26. taken priſoner. pag. 1339. col. 2. lin. 48."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,E,1288. col. 1. lin. 1.,Edmond duke of Somerset slayn at S. Albons pa. 1288. col. 1. lin. 1.,Edmond duke of Somerſet ſlayn at S. Albons pa. 1288. col. 1. lin. 1.
Richard,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,E,pag. 1310. col. 1. lin. 46. crowned. pag. 1313. col. 1. lin. 12. taken prisoner 1321. col. 1. lin. 41. deliuered. ead. col. 2. lin. 1. fleeth the Realme. pa. 1324. col. 2. lin. 30. iudged a traytor. pa. 1326. col. 2. lin. 19. landed at Norfolke. pa. 1327. col. 1. lin. 11.,"Richard Earle of Marche, proclaymed kyng Edward the fourth, pag. 1310. col. 1. lin. 46. crowned. pag. 1313. col. 1. lin. 12. taken prisoner 1321. col. 1. lin. 41. deliuered. ead. col. 2. lin. 1. fleeth the Realme. pa. 1324. col. 2. lin. 30. iudged a traytor. pa. 1326. col. 2. lin. 19. landed at Norfolke. pa. 1327. col. 1. lin. 11.","Richard Earle of Marche, pro|claymed kyng Edward the fourth, pag. 1310. col. 1. lin. 46. crowned. pag. 1313. col. 1. lin. 12. taken priſoner 1321. col. 1. lin. 41. deliue|red. ead. col. 2. lin. 1. fleeth the Realme. pa. 1324. col. 2. lin. 30. iudged a traytor. pa. 1326. col. 2. lin. 19. landed at Norfolke. pa. 1327. col. 1. lin. 11."
Edmond,person,0.95,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,E,637.74,Edmond treasurer of the Colledge of Sarisbury elected and confirmed Archbishop of Cantorbury. 637.74,Edmond treaſurer of the Col|ledge of Sariſbury elected and confirmed Archbiſhop of Cantorbury. 637.74
Edward,person,0.97,given name in entry; used elsewhere as a personal name; kinship language; biographical event,E,235.66.,"Edward sonne to Edgar, admitted, and crowned kyng of England. 235.66.","Edward ſonne to Edgar, ad|mitted, and crowned kyng of England. 235.66."
Edward,person,0.97,given name in entry; used elsewhere as a personal name; kinship language,E,737.14.,Edward sonne to H. iii. created Prince of Wales 737.14.,Edward ſonne to H. iii. created Prince of Wales 737.14.
Edredus,person,0.97,used elsewhere as a personal name,E,230.19.,"Edredus departeth this lyfe, & is buryed at Winchester. 230.19.","Edredus departeth this lyfe, & is buryed at Wincheſter. 230.19."
Editha,person,0.97,used elsewhere as a personal name; described by rank/office,E,225.4.,"Editha, after the death of kyng Sithrik, leadeth a virgins life 225.4.","Editha, after the death of kyng Sithrik, leadeth a virgins life 225.4."
Editha,person,0.97,used elsewhere as a personal name,E,225 9.,Editha departeth this life. 225 9.,Editha departeth this life. 225 9.
Edwyn,person,0.87,given name in entry; used elsewhere as a personal name; located within a named region,E,225.100.,"Edwyn drowned by fortune of the seas, & cast vp in Picardie. 225.100.","Edwyn drowned by fortune of the ſeas, & caſt vp in Picar|die. 225.100."
Edmerus,person,0.9,used elsewhere as a personal name,E,351.26.,Edmerus cited. 351.26.,Edmerus cited. 351.26.
Edward,person,0.97,given name in entry; used elsewhere as a personal name,E,222.59.,Edward hath most part of the Ile of Britaine at his commaundement. 222.59.,Edward hath moſt part of the Ile of Britaine at his com|maundement. 222.59.
Edward,person,0.86,given name in entry; used elsewhere as a personal name,E,222.67.,"Edward much delyted in repayring Cities, Townes & Castles. 222.67.","Edward much delyted in re|payring Cities, Townes & Caſtles. 222.67."
Edward,person,0.97,given name in entry; used elsewhere as a personal name; biographical event,E,222 90.,"Edward dyeth at Faringdon, and is buryed at Winchester 222 90.","Edward dyeth at Faringdon, and is buryed at Wincheſter 222 90."
Edward,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language; biographic,E,780.67. setteth forwarde in his iourney towardes the holy Land. 781.7. arriueth at Acres with his power. 781.25. wounded and almost slayne by a Sarasin. 781.45.,"Edward, sonne to Kyng Henry the thyrde, made ruler of the Citie of London. 780.67. setteth forwarde in his iourney towardes the holy Land. 781.7. arriueth at Acres with his power. 781.25. wounded and almost slayne by a Sarasin. 781.45.","Edward, ſonne to Kyng Henry the thyrde, made ruler of the Citie of London. 780.67. ſetteth forwarde in his iour|ney towardes the holy Land. 781.7. arriueth at Acres with his power. 781.25. wounded and almoſt ſlayne by a Saraſin. 781.45."
Edricus,person,0.97,used elsewhere as a personal name; described by rank/office,E,244.54.,Edricus created Erle of Mercia. 244.54.,Edricus created Erle of Mer|cia. 244.54.
Edricus,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,E,244.56.,"Edricus maryeth Edgita, daughter to King Egelredus. 244.56.","Edricus maryeth Edgita, dau|ghter to King Egelredus. 244.56."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,E,252.45,"Edmond ioyneth his power with Earle Vthred, agaynst <?>nuto 252.45","Edmond ioyneth his power with Earle Vthred, agaynſt <?>nuto 252.45"
Edenborough Castle,place,0.97,place-type word in name; used elsewhere as a location,E,1866. wonne. 1868.30.,Edenborough Castle besieged 1866. wonne. 1868.30.,Edenborough Caſtle beſieged 1866. wonne. 1868.30.
Edward,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language,E,269.32.,"Edward marryeth Editha, daughter to Earle Godwyn. 269.32.","Edward marryeth Editha, daughter to Earle Godwyn. 269.32."
Edward,person,0.97,given name in entry; used elsewhere as a personal name; kinship language,E,269.37.,"Edward absteyneth from carnall companyng with hys wyfe, and why. 269.37.","Edward abſteyneth from car|nall companyng with hys wyfe, and why. 269.37."
Edenbrugh Castle,place,0.97,place-type word in name; used elsewhere as a location,E,18.13.,Edenbrugh Castle buylded. 18.13.,Edenbrugh Caſtle buylded. 18.13.
Edenbrugh,place,0.97,used elsewhere as a location; naming/etymology gloss,E,18.14.,Edenbrugh why so called. 18.14.,Edenbrugh why ſo called. 18.14.
Edan,person,0.93,described by rank/office; holds a title over a place,E,153.35.,"Edan King of Scots, cometh against Edelfers with an armie. 153.35.","Edan King of Scots, cometh againſt Edelfers with an ar|mie. 153.35."
Edan,uncertain,0.2,"proper name, but no clear signal",E,153.38.,"Edan put to flight, and hys armie discomfited. 153.38.","Edan put to flight, and hys ar|mie diſcomfited. 153.38."
Edwine,person,0.89,given name in entry; used elsewhere as a personal name,E,159.115,Edwine delayeth time to become a Christian. 159.115,Edwine delayeth time to be|come a Chriſtian. 159.115
Edwines,person,0.9,given name in entry,E,160.50.,Edwines straũge vision which appeared vnto him. 160.50.,Edwines ſtraũge viſion which appeared vnto him. 160.50.
Edwines,person,0.97,given name in entry,E,160.31.,Edwines death conspired by Ethelferd & Redwald. 160.31.,Edwines death conſpired by Ethelferd & Redwald. 160.31.
Edwine,person,0.89,given name in entry; used elsewhere as a personal name,E,161.35.,Edwine consulteth with hys Nobles touching Christianitie. 161.35.,Edwine conſulteth with hys Nobles touching Chriſtiani|tie. 161.35.
Edwine,person,0.89,given name in entry; used elsewhere as a personal name,E,161.94.,"Edwine and his people, receiue the Christian faith. 161.94.","Edwine and his people, receiue the Chriſtian faith. 161.94."
Edgina,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language; biographical event,E,223.20.,"Edgina daughter to King Edward, maryed to Otho the Emperour. 223.20.","Edgina daughter to King Ed|ward, maryed to Otho the Emperour. 223.20."
Edward,person,0.87,given name in entry; used elsewhere as a personal name,E,222.,"Edward falleth in loue wyth Edgina, and getteth his with child. 222.","Edward falleth in loue wyth Edgina, and getteth his with child. 222."
Edenbrugh Castle,place,0.92,place-type word in name; used elsewhere as a location; described by rank/office,E,439.40.,Edenbrugh Castle gaged to the king of England. 439.40.,Edenbrugh Caſtle gaged to the king of England. 439.40.
Edrick,person,0.89,used elsewhere as a personal name; kinship language,E,186.23.,"Edrick, Nephew to Lothorer 186.23.","Edrick, Nephew to Lothorer 186.23."
Edrick,person,0.72,used elsewhere as a personal name,E,186.47.,Edrick succeedeth Lothore in the kingdome of Kent. 186.47.,Edrick ſucceedeth Lothore in the kingdome of Kent. 186.47.
Edrick,person,0.77,used elsewhere as a personal name; biographical event,E,186.55.,Edrick slayne in ciuil warre. 186.55.,Edrick ſlayne in ciuil warre. 186.55.
Edward,person,0.97,given name in entry; used elsewhere as a personal name,E,273.20.,"Edward and Godwyn, beyng readie to ioyne in battaile vpon the sea, are seuered by a myst. 273.20.","Edward and Godwyn, beyng readie to ioyne in battaile vpon the ſea, are ſeuered by a myſt. 273.20."
Edward,person,0.97,given name in entry; used elsewhere as a personal name,E,273.5. &. 273.39.,Edward sendeth forth a Name to the sea against Godwyn. 273.5. &. 273.39.,Edward ſendeth forth a Name to the ſea againſt Godwyn. 273.5. &. 273.39.
Edulfe,person,0.96,described by rank/office; appointment to office,E,223.58,"Edulfe, ordeined Byshop of Kirton. 223.58","Edulfe, ordeined Byſhop of Kirton. 223.58"
Edsinus,person,0.91,described by rank/office; holds a title over a place,E,268.53.,"Edsinus, Archbyshop of Cantorburie. 268.53.","Edſinus, Archbyſhop of Can|torburie. 268.53."
Edbert,person,0.67,used elsewhere as a personal name,E,191.83.,Edbert succeedeth Withred in the kingdome of Kent. 191.83.,Edbert ſucceedeth Withred in the kingdome of Kent. 191.83.
Edrick de Streona,person,0.69,used elsewhere as a personal name,E,259.101,Edrick de Streona ouerthrowen in his owne mene. 259.101,Edrick de Streona ouerthrowẽ in his owne mene. 259.101
Edrick de Streona,person,0.84,used elsewhere as a personal name,E,260.4.,Edrick de Streona put to deth for treason. 260.4.,Edrick de Streona put to deth for treaſon. 260.4.
Edilwald,person,0.96,used elsewhere as a personal name; described by rank/office; holds a title over a place,E,192.29.,"Edilwald, Byshop of Lindesferne. 192.29.","Edilwald, Byſhop of Lindeſ|ferne. 192.29."
Editha,person,0.97,used elsewhere as a personal name; described by rank/office,E,272.29.,"Editha put away by King Edward, & committed to straite keeping. 272.29.","Editha put away by King Ed|ward, & committed to ſtraite keeping. 272.29."
Edoll,person,0.96,used elsewhere as a personal name; described by rank/office; holds a title over a place,E,118.31.,"Edoll, Earle of Gloucester his valiancie. 118.31.","Edoll, Earle of Glouceſter his valiancie. 118.31."
Edoll,person,0.84,used elsewhere as a personal name,E,122.,"Edoll, taketh Hengist prisoner, as he was fleeing. 122.","Edoll, taketh Hengiſt priſoner, as he was fleeing. 122."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language,E,251.63.,"Edmond, eldest sonne to Kyng Egelredus, falleth in loue with Sigeferdes wydows, and maryeth her. 251.63.","Edmond, eldeſt ſonne to Kyng Egelredus, falleth in loue with Sigeferdes wydows, and maryeth her. 251.63."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name,E,251.74.,Edmond seaseth Sigeferdes possessions into his handes. 251.74.,Edmond ſeaſeth Sigeferdes poſſeſſions into his handes. 251.74.
Edgar Edeling,person,0.95,used elsewhere as a personal name,E,306.36.,"Edgar Edeling, Englandes dearling. 306.36.","Edgar Edeling, Englandes dearling. 306.36."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language,E,1121. col. 1. lin. 38 taken prisoner by Owen Glendour. pag. 1134. col. 2. lin. 28. he maryeth the daughter of Owen Glendour. pa. 1135 col. 2. lin. 23. deliuered. pag. 1136. col. 2. lin. 58.,"Edmond thortimer Earle of March, enuied Henry the fourth. pa. 1121. col. 1. lin. 38 taken prisoner by Owen Glendour. pag. 1134. col. 2. lin. 28. he maryeth the daughter of Owen Glendour. pa. 1135 col. 2. lin. 23. deliuered. pag. 1136. col. 2. lin. 58.","Edmond thortimer Earle of March, enuied Henry the fourth. pa. 1121. col. 1. lin. 38 taken priſoner by Owen Glẽ|dour. pag. 1134. col. 2. lin. 28. he maryeth the daughter of Owẽ Glendour. pa. 1135 col. 2. lin. 23. deliuered. pag. 1136. col. 2. lin. 58."
Emperour of Constantinople,person,0.92,title of rank in name; used elsewhere as a personal name,E,pag. 1132. col. 2. lin. 13.,Emperour of Constantinople came into England. pag. 1132. col. 2. lin. 13.,Emperour of Conſtantinople came into England. pag. 1132. col. 2. lin. 13.
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,E,pag. 1154. col. 1. slayne. lin. 26.,Edmond Earle of Kent sent to the sea. pag. 1154. col. 1. slayne. lin. 26.,Edmond Earle of Kent ſent to the ſea. pag. 1154. col. 1. ſlayne. lin. 26.
Edwyn,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,E,306.10.,"Edwyn reconciled to king William, beginneth a new rebellion. 306.10.","Edwyn reconciled to king Wil|liam, beginneth a new rebel|lion. 306.10."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,E,1041.8. a.,Edmond Earle of Cambridge returneth from Portingale. 1041.8. a.,Edmond Earle of Cambridge returneth from Portingale. 1041.8. a.
Edmond,person,0.97,given name in entry; used elsewhere as a personal name,E,253.85.,"Edmond Ironside, why so surnamed. 253.85.","Edmond Ironſide, why ſo ſur|named. 253.85."
Edelbert,person,0.91,described by rank/office; holds a title over a place,E,199.2.,"Edelbert, Byshop of Whicerne 199.2.","Edelbert, Byſhop of Whicerne 199.2."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language,E,968 47. b.,Edmond the Kings sonne created Erle of Cambridge. 968 47. b.,Edmond the Kings ſonne crea|ted Erle of Cambridge. 968 47. b.
Edward,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,E,pag. 1350. col. 2. lin. 40.,Edward Earle of Warwike sonne to George Duke of Clarence. pag. 1350. col. 2. lin. 40.,Edward Earle of Warwike ſonne to George Duke of Clarence. pag. 1350. col. 2. lin. 40.
Edward Winaduile,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,E,1352. col. 2. lin. 36.,Edward Winaduile knight. pa. 1352. col. 2. lin. 36.,Edward Winaduile knight. pa. 1352. col. 2. lin. 36.
Edward,person,0.87,given name in entry; used elsewhere as a personal name,E,pag. 1360. col. 1. lin. 8. came towardes London. lin. 7. returned by the Duke of Glocester to Northampton pag. 1362. col. 1. lin. 15.,Edward the fifte kept house at Ludlowe. pag. 1360. col. 1. lin. 8. came towardes London. lin. 7. returned by the Duke of Glocester to Northampton pag. 1362. col. 1. lin. 15.,Edward the fifte kept houſe at Ludlowe. pag. 1360. col. 1. lin. 8. came towardes Londõ. lin. 7. returned by the Duke of Gloceſter to Northamp|ton pag. 1362. col. 1. lin. 15.
Edward,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,E,pag. 1360. col. 2. lin. 33. toke part with the Duke of Glocester. pa. 1361. col. 1. li. 34. came to Northampton. pag. 1361. col. 1. lin. 30. barnised in olde Brigandaries. pag. 1374. col. 1. lin. 30. his Oration in the Guild hal. pag. 1380. col. 2. lin. 32.,Edward Duke of Buckingham pag. 1360. col. 2. lin. 33. toke part with the Duke of Glocester. pa. 1361. col. 1. li. 34. came to Northampton. pag. 1361. col. 1. lin. 30. barnised in olde Brigandaries. pag. 1374. col. 1. lin. 30. his Oration in the Guild hal. pag. 1380. col. 2. lin. 32.,Edward Duke of Buckingham pag. 1360. col. 2. lin. 33. toke part with the Duke of Glo|ceſter. pa. 1361. col. 1. li. 34. came to Northampton. pag. 1361. col. 1. lin. 30. barniſed in olde Brigandaries. pag. 1374. col. 1. lin. 30. his O|ration in the Guild hal. pag. 1380. col. 2. lin. 32.
Edmond Shaa,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,E,pag. 1363. col. 2. lin. 27 pag. 1376. col. 2.50.,Edmond Shaa Maior of London. pag. 1363. col. 2. lin. 27 pag. 1376. col. 2.50.,Edmond Shaa Maior of Lon|don. pag. 1363. col. 2. lin. 27 pag. 1376. col. 2.50.
Edmond,person,0.96,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,E,657.1 he dyeth. 657.61.,Edmond Archbyshop of Cantorbury remayneth in voluntary exile at Pontney. 657.1 he dyeth. 657.61.,Edmond Archbyſhop of Can|torbury remayneth in volun|tary exile at Pontney. 657.1 he dyeth. 657.61.
Edlingsey Abbey,place,0.95,place-type word in name; used elsewhere as a location,E,217.52.,Edlingsey Abbey buylded. 217.52.,Edlingſey Abbey buylded. 217.52.
Edmerus,person,0.9,used elsewhere as a personal name,E,323.100. and 330.52. & .337.98. &. 338. 17.& 347. 58.,Edmerus cited. 323.100. and 330.52. & .337.98. &. 338. 17.& 347. 58.,Edmerus cited. 323.100. and 330.52. & .337.98. &. 338. 17.& 347. 58.
"Edgina, Abdesse of Leoffe Monasterie",person,0.61,place-type word in name; used elsewhere as a personal name,E,270.12,"Edgina, Abdesse of Leoffe Monasterie. 270.12","Edgina, Abdeſſe of Leoffe Mo|naſterie. 270.12"
Edbert,person,0.97,used elsewhere as a personal name; described by rank/office; appointment to office,E,202.61.,"Edbert, made King of the Kentishmen. 202.61.","Edbert, made King of the Ken|tiſhmen. 202.61."
Edenbrugh castle,place,0.9,place-type word in name; used elsewhere as a location,E,821 10. b. 901. 44. a.,Edenbrugh castle yeelded. 821 10. b. 901. 44. a.,Edenbrugh caſtle yeelded. 821 10. b. 901. 44. a.
Edward,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language,E,921.1. a.,Edward the Kinges sonne created Prince of Wales. 921.1. a.,Edward the Kinges ſonne crea|ted Prince of Wales. 921.1. a.
Edwine lands,person,0.66,place-type word in name; given name in entry; used elsewhere as a personal name; described by rank/office,E,301.44.,Edwine lands giuen to Alane Earle of Britaine. 301.44.,Edwine lands giuen to Alane Earle of Britaine. 301.44.
Edburge,uncertain,0.2,"proper name, but no clear signal",E,223.26.,"Edburge, a Nunne. 223.26.","Edburge, a Nunne. 223.26."
Edmerus,person,0.9,used elsewhere as a personal name,E,282.110.283.37.,Edmerus cited. 282.110.283.37.,Edmerus cited. 282.110.283.37.
Edwin,person,0.97,given name in entry; used elsewhere as a personal name; biographical event,E,272.66.,Edwin slayne by the Welchmen. 272.66.,Edwin ſlayne by the Welch|men. 272.66.
Editha,person,0.97,used elsewhere as a personal name,E,272,"Editha leadeth and endeth her life, in perfect chastitie. 272","Editha leadeth and endeth her life, in perfect chaſtitie. 272"
Edwyne,person,0.97,given name in entry; used elsewhere as a personal name; kinship language,E,159.28.,"Edwyne marieth Ethelburga, daughter to Ethelbert. 159.28.","Edwyne marieth Ethelbur|ga, daughter to Ethelbert. 159.28."
Edmond,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language; biographic,E,.729.64.,Edmond sonne to Richard Erle of Cornwal borne. .729.64.,Edmõd ſonne to Richard Erle of Cornwal borne. .729.64.
Edward Wooduile,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; kinship language,E,pag. 1402. col. 2. lin 19.,Edward Wooduile Knight brother to Queene Elizabeth pag. 1402. col. 2. lin 19.,Edward Wooduile Knight brother to Queene Eliza|beth pag. 1402. col. 2. lin 19.
Edward Wooduile,person,0.97,given name in entry; used elsewhere as a personal name,E,pag. 408. col. 2. lin. 50.,Edward Wooduile and Edward Poinings valiant Esquiers of Englande. pag. 408. col. 2. lin. 50.,Edward Wooduile and Ed|ward Poinings valiant Eſ|quiers of Englande. pag. 408. col. 2. lin. 50.
Elizabeth,person,0.97,given name in entry; used elsewhere as a personal name; kinship language; biographical event,E,1425.33. conveied to London. ibidem. maryed vnto Kinge Henrye the seuenth. 1426.26. crowned Quene. 1432.34. dyeth. 1457.58. called the good Queene. 1458.10.,"Elizabeth eldest daughter vnto Edwarde the fourth, kepte in Sherriffe huton Castell. 1425.33. conveied to London. ibidem. maryed vnto Kinge Henrye the seuenth. 1426.26. crowned Quene. 1432.34. dyeth. 1457.58. called the good Queene. 1458.10.","Elizabeth eldeſt daughter vnto Edwarde the fourth, kepte in Sherriffe huton Caſtell. 1425.33. conveied to Lon|don. ibidem. maryed vnto Kinge Henrye the ſeuenth. 1426.26. crowned Quene. 1432.34. dyeth. 1457.58. called the good Queene. 1458.10."
Elizabeth,person,0.97,given name in entry; used elsewhere as a personal name; kinship language; biographical event,E,"1429 46. liueth a wretched lyfe. 1429.3. dieth, and is buried with her husband. ibidem. foundeth the Queenes Colledge in Cumbridge. eadem. 10.","Elizabeth late wife to Edward the fourth, depriued of all her landes & possessions. 1429 46. liueth a wretched lyfe. 1429.3. dieth, and is buried with her husband. ibidem. foundeth the Queenes Colledge in Cumbridge. eadem. 10.","Elizabeth late wife to Edward the fourth, depriued of all her landes & poſſeſſions. 1429 46. liueth a wretched lyfe. 1429.3. dieth, and is buried with her huſband. ibidem. foundeth the Queenes Col|ledge in Cumbridge. eadem. 10."
Edgecombe Richard,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,E,1433.10.,Edgecombe Richard Knight Ambassadour into Fraunce. 1433.10.,Edgecombe Richard Knight Ambaſſadour into Fraunce. 1433.10.
Egremont Iohn,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,E,1434.50. fleeth into Flaunders. 1435.24.,Egremont Iohn Knight Captain of rebels. 1434.50. fleeth into Flaunders. 1435.24.,Egremont Iohn Knight Cap|tain of rebels. 1434.50. fle|eth into Flaunders. 1435.24.
Edward,person,0.97,given name in entry; used elsewhere as a personal name; kinship language; biographical event,E,"1570.30. his godfathers and godmother eadem. 38. receyueth the Admyrall of France. 1609.35. is adorned with the order of knighthod. 1614.4. is crowned. eaden. 42. his godly and wise conference with the Byshop of London. 1712.30. dyrecteth his letter to the Maior of London, to consult with his brethren, howe the poore might be best releeued 1713.22. foundeth the Hospitals in London. 1714 10. his singular pietie. eaden. 30. dyeth. 1715.56. his prayer at his death. eadem. 5 his commendation eaden. 20 his Epitaph. 1619.20","Edward Sonne to Henry the eyght borne. 1570.30. his godfathers and godmother eadem. 38. receyueth the Admyrall of France. 1609.35. is adorned with the order of knighthod. 1614.4. is crowned. eaden. 42. his godly and wise conference with the Byshop of London. 1712.30. dyrecteth his letter to the Maior of London, to consult with his brethren, howe the poore might be best releeued 1713.22. foundeth the Hospitals in London. 1714 10. his singular pietie. eaden. 30. dyeth. 1715.56. his prayer at his death. eadem. 5 his commendation eaden. 20 his Epitaph. 1619.20","Edward Sonne to Henry the eyght borne. 1570.30. his godfathers and godmother eadem. 38. receyueth the Ad|myrall of France. 1609.35. is adorned with the order of knighthod. 1614.4. is crow|ned. eadẽ. 42. his godly and wiſe conference with the By|ſhop of London. 1712.30. dyrecteth his letter to the Maior of London, to conſult with his brethren, howe the poore might be beſt releeued 1713.22. foundeth the Hoſpitals in London. 1714 10. his ſingular pietie. eadẽ. 30. dyeth. 1715.56. his prayer at his death. eadem. 5 his commendation eadẽ. 20 his Epitaph. 1619.20"
